SECTION,b,A,d,e,B,g,C,i,D,k,F,m,A_2,- F,p,GPA,r,I,t,S,v,U,x,Q,z,aa,bb,X,dd,TOTAL   INSTRUCTOR,ff,gg,hh
BUSH-631-700,,7,,,0,,0,,0,,1,,,8,,3.5,,False,,,False,,False,,,False,,False,,8 BULLOCK J,,,
,,0.875,,,0.0,,0.0,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,7,,,0,,0,,0,,1,,,8,,3.5,,False,,,False,,False,,,False,,False,,8,,,
,,0.875,,,0.0,,0.0,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,7,,,0,,0,,0,,1,,,8,,3.5,,False,,,False,,False,,,False,,False,,8,,,
,,0.875,,,0.0,,0.0,,0.0,,0.125,,,,,,,,,,,,,,,,,,,,,,
TALBOT B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTA-605-700,6,,,2,,,0,,0,,0,,,8,3.75,,,False,,,False,False,,,False,,,False,,,8,,
,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,6,,,2,,,0,,0,,0,,,8,3.75,,,False,,,False,False,,,False,,,False,,,8,,
,0.75,,,0.25,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-617-100,19,,,0,,,0,,0,,0,,,19,4.0,,,False,,,False,False,,,False,,,False,,,19,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,19,,,0,,,0,,0,,0,,,19,4.0,,,False,,,False,False,,,False,,,False,,,19,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-644-700,7,,,1,,,0,,0,,0,,,8,3.875,,,False,,,False,False,,,False,,,False,,,8,,
,0.875,,,0.125,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,1,,,0,,0,,0,,,8,3.875,,,False,,,False,False,,,False,,,False,,,8,,
,0.875,,,0.125,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-651-700,9,,,0,,,0,,0,,0,,,9,4.0,,,False,,,False,False,,,False,,,False,,,9,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,9,,,0,,,0,,0,,0,,,9,4.0,,,False,,,False,False,,,False,,,False,,,9,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-653-700,7,,,0,,,0,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,,7,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,0,,,0,,0,,0,,,7,4.0,,,False,,,False,False,,,False,,,False,,,7,,
,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-689-100,12,,,1,,,1,,0,,0,,,14,3.785,,,False,,,False,False,,,False,,,False,,,14,,
,0.8571,,,0.0714,,,0.0714,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
INTA-689-101,2,,,3,,,0,,0,,0,,,5,3.4,,,False,,,False,False,,,False,,,False,,,5,,
,0.4,,,0.6,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
CASTILLO J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAMIE C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSSELL R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALY S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCLAUGHLIN J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEMON E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,14,,,4,,,1,,0,,0,,,19  3.684,,,,False,,,False,False,,,False,,,False,,,19,,
,0.7368,,,0.2105,,,0.0526,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,62,,,7,,,1,,0,,0,,,703.871,,,,False,,,False,False,,,False,,,False,,,70,,
,0.8857,,,0.1,,,0.0143,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
