15,b,6,0,0_2,0_3,21,h,3.714,0_4,0_5,0_6,0_7,0_8,21_2,p,q
71.43%,,0.2857,0.0,0.0,0.0,,,,,,,,,,,
7,,4,0,0,0,11,,3.636,False,False,False,2,1,14,,
63.64%,,0.3636,0.0,0.0,0.0,,,,,,,,,,,
22,,10,0,0,0,32,,3.688,False,False,False,2,1,35,,
68.75%,,0.3125,0.0,0.0,0.0,,,,,,,,,,,
20,,2,0,0,0,22,,3.909,False,False,False,0,0,22,,
90.91%,,0.0909,0.0,0.0,0.0,,,,,,,,,,,
20,,2,0,0,0,22,,3.909,False,False,False,0,0,22,,
90.91%,,0.0909,0.0,0.0,0.0,,,,,,,,,,,
11,,2,0,0,0,13,,3.846,False,False,False,0,0,13,,
84.62%,,0.1538,0.0,0.0,0.0,,,,,,,,,,,
11,,2,0,0,0,13,,3.846,False,False,False,0,0,13,,
84.62%,,0.1538,0.0,0.0,0.0,,,,,,,,,,,
9,,0,0,0,0,9,,4.0,False,False,False,0,0,9,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,,0,0,0,0,9,,4.0,False,False,False,0,0,9,,
100.00%,,0.0,0.0,0.0,0.0,,,,,,,,,,,
11,,7,1,0,0,19,,3.526,False,False,False,0,0,19,,
57.89%,,0.3684,0.0526,0.0,0.0,,,,,,,,,,,
11,,7,1,0,0,19,,3.526,False,False,False,0,0,19,,
57.89%,,0.3684,0.0526,0.0,0.0,,,,,,,,,,,
7,,5,0,0,0,12,,3.583,True,False,False,0,1,14,,
58.33%,,0.4167,0.0,0.0,0.0,,,,,,,,,,,
"PHEO-600-600
PHEO-600-601
COURSE TOTAL:
PHEO-610-600
COURSE TOTAL:
PHEO-612-600
COURSE TOTAL:
PHEO-615-600
COURSE TOTAL:
PHEO-640-600
COURSE TOTAL:
PHEO-645-600",,,,,,,"BENDEN M
BENDEN M
CIZMAS L
ZUNIGA G
MCDONALD T
PICKENS A
BENDEN M",,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
7,,5,0,0,0,12,,3.583,True,False,False,0,1,14,,
58.33%,,0.4167,0.0,0.0,0.0,,,,,,,,,,,
22,,1,0,0,0,23,,3.956,False,False,False,0,0,23,RENE A,
95.65%,,0.0435,0.0,0.0,0.0,,,,,,,,,,,
22,,1,0,0,0,23,,3.957,False,False,False,0,0,23,,
95.65%,,0.0435,0.0,0.0,0.0,,,,,,,,,,,
4,,1,1,0,0,6,,3.5,False,False,False,0,0,6,PERES C,
66.67%,,0.1667,0.1667,0.0,0.0,,,,,,,,,,,
5,,4,0,0,0,9,,3.556,False,False,False,0,0,9,PERES C,
55.56%,,0.4444,0.0,0.0,0.0,,,,,,,,,,,
9,,5,1,0,0,15,,3.533,False,False,False,0,0,15,,
60.00%,,0.3333,0.0667,0.0,0.0,,,,,,,,,,,
14,,2,0,0,0,16,,3.875,False,False,False,0,0,16,BENDEN M,
87.50%,,0.125,0.0,0.0,0.0,,,,,,,,,,,
14,,2,0,0,0,16,,3.875,False,False,False,0,0,16,,
87.50%,,0.125,0.0,0.0,0.0,,,,,,,,,,,
PHEO-650-601,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
PHEO-655-600,,,,,,,,,,,,,,,,
PHEO-655-601,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
PHEO-679-600,,,,,,,,,,,,,,,,
COURSE TOTAL:,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,125,34,2,0,0,1613.764,,,True,False,False,2,2,166,,
,0.7764,0.2112,0.0124,0.0,0.0,,,,,,,,,,,
