SECTION,A       B        C       D,c,d,e,f,g,h,i,F      A - F,k,l,m,n,o,GPA     I,q,r,s,t,S     U     Q,v,w,x,y,z,aa,bb,cc,X    TOTAL,ee,ff,gg,hh,INSTRUCTOR,jj,kk,ll,mm
ARCH-249-700,,32,,11,,3,,2,,,0,,48,,,,3.52,,1,,,0,,,0,,,True,,,0,,50,,,CAFFEY S,,
,,0.6667,,0.2292,,0.0625,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,32,,11,,3,,2,,,0,,48,,,,3.52,,1,,,0,,,0,,,True,,,0,,50,,,,,
,,0.6667,,0.2292,,0.0625,,0.0417,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-250-700,,19,,6,,5,,1,,,0,,31,,,,3.387,,0,,,0,,,0,,,True,,,0,,32,,,CAMPAGNOL G,,
,,0.6129,,0.1935,,0.1613,,0.0323,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,19,,6,,5,,1,,,0,,31,,,,3.387,,0,,,0,,,0,,,True,,,0,,32,,,,,
,,0.6129,,0.1935,,0.1613,,0.0323,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-331-100,,0,,4,,1,,0,,,4,,9,,,,1.555,,0,,,0,,,0,,,False,,,0,,9,,,NICHOLS A,,
,,0.0,,0.4444,,0.1111,,0.0,,,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,0,,4,,1,,0,,,4,,9,,,,1.555,,0,,,0,,,0,,,False,,,0,,9,,,,,
,,0.0,,0.4444,,0.1111,,0.0,,,0.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-485-355,,24,,0,,0,,0,,,0,,24,,,,4.0,,0,,,0,,,0,,,False,,,0,,24,,,HOLLIDAY S,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,24,,0,,0,,0,,,0,,24,,,,4.0,,0,,,0,,,0,,,False,,,0,,24,,,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCH-603-300,,9,,2,,0,,1,,,0,,12,,,,3.583,,0,,,0,,,0,,,False,,,0,,12,,,LUTZ S,,
,,0.75,,0.1667,,0.0,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,2,,0,,1,,,0,,12,,,,3.583,,0,,,0,,,0,,,False,,,0,,12,,,,,
,,0.75,,0.1667,,0.0,,0.0833,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDS-101-200,,7,,0,,0,,0,,,1,,8,,,,3.5,,0,,,0,,,0,,,False,,,0,,8,,,VANEGAS J,,
,,0.875,,0.0,,0.0,,0.0,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDS-101-700,,69,,1,,0,,0,,,2,,72,,,,3.875,,0,,,0,,,0,,,False,,,0,,72,,,CAFFEY S,,
,,0.9583,,0.0139,,0.0,,0.0,,,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
ENDS-101-G00,,82,,2,,0,,0,,,0,,,84,,,3.976,,0,,,,False,,,False,,,0,,0,,84,,VANEGAS J,,,
,,0.9762,,0.0238,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,158,,3,,0,,0,,,3,,,164,,,3.908,,0,,,,False,,,False,,,0,,0,,164,,,,,
,,0.9634,,0.0183,,0.0,,0.0,,,0.0183,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENDS-108-100,,4,,15,,0,,0,,,0,,,19,,,3.21,,0,,,,False,,,False,,,0,,0,,19,,MCINTOSH N,,,
,,0.2105,,0.7895,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,4,,15,,0,,0,,,0,,,19,,,3.21,,0,,,,False,,,False,,,0,,0,,19,,,,,
,,0.2105,,0.7895,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,246,,41,,9,,4,,,7,,,307,,,3.655,,1,,,,False,,,False,,,2,,0,,310,,,,,
,,0.8013,,0.1336,,0.0293,,0.013,,,0.0228,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTION,,A,,B,,C,,D,,,F,,A,- F,,,GPA,,I,,,S,,,U,,Q,,,,X,,TOTAL,,INSTRUCTOR,,,
CARC-301-300,,6,,9,,7,,0,,,0,,,22,,,2.954,,0,,,,False,,,False,,,0,,0,,22,,DE LIMA VAZ,,XAVIER,
,,0.2727,,0.4091,,0.3182,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-301-350,,10,,1,,0,,0,,,0,,,11,,,3.909,,0,,,,False,,,False,,,0,,0,,11,,ROLDAN M,,,
,,0.9091,,0.0909,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,16,,10,,7,,0,,,0,,,33,,,3.145,,0,,,,False,,,False,,,0,,0,,33,,,,,
,,0.4848,,0.303,,0.2121,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-101,,29,,0,,0,,0,,,0,,,29,,,4.0,,0,,,,False,,,False,,,0,,0,,29,,FORTENBERRY,,B,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-103,,28,,0,,0,,0,,,0,,,28,,,4.0,,0,,,,False,,,False,,,0,,0,,28,,GODDARD T,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-104,,12,,6,,1,,0,,,0,,,19,,,3.578,,0,,,,False,,,False,,,0,,0,,19,,DAVIS D,,,
,,0.6316,,0.3158,,0.0526,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-201,,21,,5,,0,,1,,,0,,,27,,,3.703,,0,,,,False,,,False,,,0,,0,,27,,WOODFIN S,,,
,,0.7778,,0.1852,,0.0,,0.037,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-202,,23,,2,,1,,0,,,0,,,26,,,3.846,,0,,,,False,,,False,,,0,,0,,26,,AITANI K,,,
,,0.8846,,0.0769,,0.0385,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-203,,6,,11,,2,,1,,,1,,,21,,,2.952,,0,,,,False,,,False,,,0,,0,,21,,HUANG C,,,
,,0.2857,,0.5238,,0.0952,,0.0476,,,0.0476,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-205,,3,,7,,9,,2,,,0,,,21,,,2.523,,1,,,,False,,,False,,,0,,0,,22,,LAVY S,,,
,,0.1429,,0.3333,,0.4286,,0.0952,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-250,,15,,3,,0,,0,,,0,,,18,,,3.833,,0,,,,False,,,False,,,0,,0,,18,,ROLDAN M,,,
,,0.8333,,0.1667,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARC-311-350,,11,,0,,0,,0,,,0,,,11,,,4.0,,0,,,,False,,,False,,,0,,0,,11,,ROLDAN M,,,
,,1.0,,0.0,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,148,,34,,13,,4,,,1,,,200,,,3.62,,1,,,,False,,,False,,,0,,0,,201,,,,,
,,0.74,,0.17,,0.065,,0.02,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,
