SECTION,b,A,d,e,B,g,h,C,j,D,l,F,n,A_2,- F,q,GPA,s,I,u,S,w,U,y,Q,aa,bb,cc,X,ee,TOTAL,INSTRUCTOR,hh,ii
AERO-304-700,,9,,,9,,,15,,1,,3,,,37,,2.54,,3,,,False,,False,,,1,,False,,41,BOYD J,,
,,0.2432,,,0.2432,,,0.4054,,0.027,,0.0811,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,9,,,15,,1,,3,,,37,,2.54,,3,,,False,,False,,,1,,False,,41,,,
,,0.2432,,,0.2432,,,0.4054,,0.027,,0.0811,,,,,,,,,,,,,,,,,,,,,,
AERO-489-700,,3,,,3,,,5,,2,,0,,,13,,2.538,,0,,,False,,False,,,1,,False,,14,WHITCOMB J,,
,,0.2308,,,0.2308,,,0.3846,,0.1538,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,3,,,3,,,5,,2,,0,,,13,,2.538,,0,,,False,,False,,,1,,False,,14,,,
,,0.2308,,,0.2308,,,0.3846,,0.1538,,0.0,,,,,,,,,,,,,,,,,,,,,,
AERO-491-343,,9,,,0,,,0,,0,,0,,,9,,4.0,,0,,,False,,False,,,0,,False,,9,CHAMITOFF G,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,,9,,,0,,,0,,0,,0,,,9,,4.0,,0,,,False,,False,,,0,,False,,9,,,
,,1.0,,,0.0,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,,21,,,12,,,20,,3,,3,,,59,,2.692,,3,,,False,,False,,,2,,False,,64,,,
,,0.3559,,,0.2034,,,0.339,,0.0508,,0.0508,,,,,,,,,,,,,,,,,,,,,,
KELLER B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMEN-207-700,10,,,5,,,0,,,0,,0,,,15,3.666,,,1,,,False,False,,,False,,,False,,16,,,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,10,,,5,,,0,,,0,,0,,,15,3.666,,,1,,,False,False,,,False,,,False,,16,,,
,0.6667,,,0.3333,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-211-300,21,,,12,,,3,,,0,,0,,,36,3.5,,,0,,,False,False,,,False,,,False,,36,,,
,0.5833,,,0.3333,,,0.0833,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,12,,,3,,,0,,0,,,36,3.5,,,0,,,False,False,,,False,,,False,,36,,,
,0.5833,,,0.3333,,,0.0833,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-321-300,3,,,3,,,1,,,0,,0,,,7,3.285,,,0,,,False,False,,,False,,,False,,7,,,
,0.4286,,,0.4286,,,0.1429,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,3,,,3,,,1,,,0,,0,,,7,3.285,,,0,,,False,False,,,False,,,False,,7,,,
,0.4286,,,0.4286,,,0.1429,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-350-700,21,,,6,,,2,,,0,,0,,,29,3.655,,,0,,,False,False,,,False,,,False,,29,,,
,0.7241,,,0.2069,,,0.069,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,21,,,6,,,2,,,0,,0,,,29,3.655,,,0,,,False,False,,,False,,,False,,29,,,
,0.7241,,,0.2069,,,0.069,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-448-350,7,,,0,,,0,,,0,,0,,,7,4.0,,,0,,,False,False,,,False,,,False,,7,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,7,,,0,,,0,,,0,,0,,,7,4.0,,,0,,,False,False,,,False,,,False,,7,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
BMEN-485-301,5,,,0,,,0,,,0,,0,,,5,4.0,,,0,,,False,False,,,False,,,False,,5,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
COURSE TOTAL:,5,,,0,,,0,,,0,,0,,,5,4.0,,,0,,,False,False,,,False,,,False,,5,,,
,1.0,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
PEAK C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAK C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRISCIONE J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORENO M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MACHEK J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPARTMENT TOTAL:,67,,,26,,,6,,,0,,0,,,993.609,,,,1,,,False,False,,,False,,,False,,100,,,
,0.6768,,,0.2626,,,0.0606,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,
